[2024-11-06 10:32:17.945] INFO  [background-preinit] o.h.validator.internal.util.Version.<clinit>:21 - HV000001: Hibernate Validator 6.2.5.Final
[2024-11-06 10:32:17.953] INFO  [main] c.hust.ewsystem.EwSystemApplication.logStarting:55 - Starting EwSystemApplication using Java 1.8.0_111 on DESKTOP-IGUT578 with PID 9884 (C:\Users\admin\Desktop\codes\back\target\classes started by admin in C:\Users\admin\Desktop\codes\back)
[2024-11-06 10:32:17.955] INFO  [main] c.hust.ewsystem.EwSystemApplication.logStartupProfileInfo:645 - No active profile set, falling back to 1 default profile: "default"
[2024-11-06 10:32:18.741] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected:262 - Multiple Spring Data modules found, entering strict repository configuration mode
[2024-11-06 10:32:18.746] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2024-11-06 10:32:18.779] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn:201 - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
[2024-11-06 10:32:19.904] INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 8080 (http)
[2024-11-06 10:32:19.918] INFO  [main] o.a.coyote.http11.Http11NioProtocol.log:173 - Initializing ProtocolHandler ["http-nio-8080"]
[2024-11-06 10:32:19.920] INFO  [main] o.a.catalina.core.StandardService.log:173 - Starting service [Tomcat]
[2024-11-06 10:32:19.920] INFO  [main] o.a.catalina.core.StandardEngine.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.68]
[2024-11-06 10:32:20.072] INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring embedded WebApplicationContext
[2024-11-06 10:32:20.072] INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext:290 - Root WebApplicationContext: initialization completed in 2055 ms
[2024-11-06 10:32:20.535] INFO  [main] c.a.druid.pool.DruidDataSource.init:990 - {dataSource-1,master} inited
[2024-11-06 10:32:20.541] INFO  [main] c.a.druid.pool.DruidDataSource.init:990 - {dataSource-2,slave} inited
[2024-11-06 10:32:20.543] INFO  [main] c.b.d.d.DynamicRoutingDataSource.addDataSource:158 - dynamic-datasource - add a datasource named [slave] success
[2024-11-06 10:32:20.546] INFO  [main] c.b.d.d.DynamicRoutingDataSource.addDataSource:158 - dynamic-datasource - add a datasource named [master] success
[2024-11-06 10:32:20.546] INFO  [main] c.b.d.d.DynamicRoutingDataSource.afterPropertiesSet:241 - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
[2024-11-06 10:32:20.656] WARN  [main] c.b.m.c.injector.DefaultSqlInjector.getMethodList:56 - class com.hust.ewsystem.entity.CommonData ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
[2024-11-06 10:32:21.944] INFO  [main] o.a.coyote.http11.Http11NioProtocol.log:173 - Starting ProtocolHandler ["http-nio-8080"]
[2024-11-06 10:32:21.974] INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer.start:220 - Tomcat started on port(s): 8080 (http) with context path ''
[2024-11-06 10:32:21.985] INFO  [main] c.hust.ewsystem.EwSystemApplication.logStarted:61 - Started EwSystemApplication in 4.667 seconds (JVM running for 5.149)
[2024-11-06 10:32:26.530] INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/].log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-11-06 10:32:26.531] INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
[2024-11-06 10:32:26.533] INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet.initServletBean:547 - Completed initialization in 2 ms
[2024-11-06 10:34:27.441] INFO  [SpringApplicationShutdownHook] c.b.d.d.DynamicRoutingDataSource.destroy:215 - dynamic-datasource start closing ....
[2024-11-06 10:34:27.444] INFO  [SpringApplicationShutdownHook] c.a.druid.pool.DruidDataSource.close:2043 - {dataSource-2} closing ...
[2024-11-06 10:34:27.445] INFO  [SpringApplicationShutdownHook] c.a.druid.pool.DruidDataSource.close:2116 - {dataSource-2} closed
[2024-11-06 10:34:27.445] INFO  [SpringApplicationShutdownHook] c.b.d.d.d.DefaultDataSourceDestroyer.destroy:98 - dynamic-datasource close the datasource named [slave] success,
[2024-11-06 10:34:27.445] INFO  [SpringApplicationShutdownHook] c.a.druid.pool.DruidDataSource.close:2043 - {dataSource-1} closing ...
[2024-11-06 10:34:27.445] INFO  [SpringApplicationShutdownHook] c.a.druid.pool.DruidDataSource.close:2116 - {dataSource-1} closed
[2024-11-06 10:34:27.445] INFO  [SpringApplicationShutdownHook] c.b.d.d.d.DefaultDataSourceDestroyer.destroy:98 - dynamic-datasource close the datasource named [master] success,
[2024-11-06 10:34:27.446] INFO  [SpringApplicationShutdownHook] c.b.d.d.DynamicRoutingDataSource.destroy:219 - dynamic-datasource all closed success,bye
[2024-11-06 10:34:35.178] INFO  [background-preinit] o.h.validator.internal.util.Version.<clinit>:21 - HV000001: Hibernate Validator 6.2.5.Final
[2024-11-06 10:34:35.191] INFO  [main] c.hust.ewsystem.EwSystemApplication.logStarting:55 - Starting EwSystemApplication using Java 1.8.0_111 on DESKTOP-IGUT578 with PID 11976 (C:\Users\admin\Desktop\codes\back\target\classes started by admin in C:\Users\admin\Desktop\codes\back)
[2024-11-06 10:34:35.193] INFO  [main] c.hust.ewsystem.EwSystemApplication.logStartupProfileInfo:645 - No active profile set, falling back to 1 default profile: "default"
[2024-11-06 10:34:35.886] INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected:262 - Multiple Spring Data modules found, entering strict repository configuration mode
